Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
6.698862624168395996e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.272599999999999909e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.708825893402099609e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.282200000000000273e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.718773159980773926e+02,9.632600928402334262e+01,0.000000000000000000e+00,3.307999999999999829e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.728742129802703857e+02,9.965201585825074915e+01,0.000000000000000000e+00,3.311200000000000188e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.738699123859405518e+02,1.000000000000000000e+02,0.000000000000000000e+00,3.314500000000000313e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.748652570247650146e+02,9.448846884535031165e+01,0.000000000000000000e+00,3.346699999999999875e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.758614146709442139e+02,9.902510880031584861e+01,0.000000000000000000e+00,3.346699999999999875e+01,3.288700000000000045e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.768564128875732422e+02,9.380490888016670681e+01,0.000000000000000000e+00,3.378900000000000148e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.778526322841644287e+02,9.827859931945796745e+01,0.000000000000000000e+00,3.378900000000000148e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.788483839035034180e+02,9.299765742609363883e+01,0.000000000000000000e+00,3.411099999999999710e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.798436758518218994e+02,9.479186978543282294e+01,0.000000000000000000e+00,3.424000000000000199e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.808395068645477295e+02,9.330840928999167261e+01,0.000000000000000000e+00,3.443399999999999750e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.818351335525512695e+02,9.049437795231753512e+01,0.000000000000000000e+00,3.472399999999999665e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.828304789066314697e+02,9.380953802093611671e+01,0.000000000000000000e+00,3.475600000000000023e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.838263480663299561e+02,8.865801159463885028e+01,0.000000000000000000e+00,3.507800000000000296e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.848217105865478516e+02,8.699996056264195943e+01,0.000000000000000000e+00,3.536800000000000210e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.858175435066223145e+02,8.626154287304905210e+01,0.000000000000000000e+00,3.559400000000000119e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.868127179145812988e+02,8.679601687158988454e+01,0.000000000000000000e+00,3.572299999999999898e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.878086152076721191e+02,8.307445370735058532e+01,0.000000000000000000e+00,3.601299999999999812e+01,3.275800000000000267e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.888044548034667969e+02,8.091060879110474957e+01,0.000000000000000000e+00,3.630299999999999727e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.897996075153350830e+02,8.194658188476229554e+01,0.000000000000000000e+00,3.643200000000000216e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.907956664562225342e+02,7.808440729354580867e+01,0.000000000000000000e+00,3.672200000000000131e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.917911670207977295e+02,7.577768538487210037e+01,0.000000000000000000e+00,3.701200000000000045e+01,3.282200000000000273e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.927870981693267822e+02,7.341634929445729085e+01,0.000000000000000000e+00,3.730199999999999960e+01,3.291899999999999693e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.937821803092956543e+02,7.492129343830241339e+01,0.000000000000000000e+00,3.739800000000000324e+01,3.298299999999999699e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.947781560420989990e+02,6.921928553881227231e+01,0.000000000000000000e+00,3.775300000000000011e+01,3.285399999999999920e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.957739651203155518e+02,6.865662409581800318e+01,0.000000000000000000e+00,3.797899999999999920e+01,3.295100000000000051e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.967691307067871094e+02,6.806851582173996462e+01,0.000000000000000000e+00,3.814000000000000057e+01,3.291899999999999693e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.977658116817474365e+02,6.679964780879070929e+01,0.000000000000000000e+00,3.830100000000000193e+01,3.295100000000000051e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.987608265876770020e+02,6.223290391434075275e+01,0.000000000000000000e+00,3.862299999999999756e+01,3.307999999999999829e+01,4.000000000000000000e+01,2.300000000000000000e+01
6.997736339569091797e+02,6.187327477437715118e+01,0.000000000000000000e+00,3.881600000000000250e+01,3.311200000000000188e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.007520055770874023e+02,6.004970007966048939e+01,0.000000000000000000e+00,3.900999999999999801e+01,3.311200000000000188e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.017656307220458984e+02,5.705566177516061543e+01,0.000000000000000000e+00,3.926800000000000068e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.027430467605590820e+02,5.316672892446237597e+01,0.000000000000000000e+00,3.959000000000000341e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.037567577362060547e+02,5.072468263418725343e+01,0.000000000000000000e+00,3.988000000000000256e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.047345468997955322e+02,5.295539877744212731e+01,0.000000000000000000e+00,3.991199999999999903e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.057478005886077881e+02,4.683736607165791810e+01,0.000000000000000000e+00,4.023400000000000176e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
